SEGID,DY_VOL,FT,ATYPENAME,LANES,YEAR,FAC_WDAVG,modAadt,aadtAdjFactor,modForecast
0015_331.6,134343.9,33.0,Urban,6.0,2019,1.0654,126097,6431.0,133000.0
0015_332.9,133752.2,33.0,Urban,6.0,2019,1.0654,125541,1080.0,127000.0
0015_334.1,146078.1,33.0,Urban,6.0,2019,1.0654,137111,-4287.0,133000.0
0015_335.8,141756.9,33.0,Urban,6.0,2019,1.0654,133055,-5315.0,128000.0
0015_337.0,141977.6,33.0,Urban,6.0,2019,1.0654,133262,-5522.0,128000.0
0015_338.5,123056.5,33.0,Suburban,6.0,2019,1.0654,115502,-888.0,115000.0
0015_339.1,99505.1,33.0,Suburban,6.0,2019,1.0654,93396,11304.0,105000.0
0015_340.3,114009.2,33.0,Suburban,8.0,2019,1.0654,107010,10997.0,118000.0
0015_342.0,103721.1,33.0,Suburban,8.0,2019,1.0654,97354,18693.0,116000.0
0015_343.1,96784.1,33.0,Suburban,8.0,2019,1.0654,90842,4311.0,95000.0
0015_343.9,91474.8,33.0,Transition,8.0,2019,1.0654,85859,4617.0,90500.0
0015_345.0,83284.5,35.0,Suburban,6.0,2019,0.9701,85851,-10321.0,75500.0
0015_346.7,72864.3,35.0,Transition,6.0,2019,0.9701,75110,-8579.0,66500.0
0015_349.4,51709.5,35.0,Transition,6.0,2019,0.9688,53374,1314.0,54500.0
0015_351.9,47071.2,35.0,Transition,6.0,2019,0.9674,48657,9718.0,58500.0
0015_357.6,46583.2,35.0,Rural,6.0,2019,0.966,48222,6001.0,54000.0
0015_362.0,30751.0,35.0,Transition,4.0,2019,0.9647,31876,-210.0,31500.0
0015_363.7,28701.5,35.0,Transition,4.0,2019,0.9633,29794,972.0,31000.0
0015_365.5,25529.6,35.0,Rural,4.0,2019,0.9619,26540,1675.0,28000.0
0015_368.1,25117.0,35.0,Rural,4.0,2019,0.9619,26111,0.0,26000.0
0026_000.0,34971.4,2.0,Suburban,6.0,2019,1.0946,31949,-8597.0,23500.0
0026_000.2,36768.9,2.0,Suburban,6.0,2019,1.0946,33591,-10239.0,23500.0
0026_000.4,60320.0,2.0,Suburban,6.0,2019,1.0924,55217,-5814.0,49500.0
0026_000.7,65132.1,2.0,Suburban,6.0,2019,1.0946,59503,-10100.0,49500.0
0026_001.0,54114.7,2.0,Suburban,6.0,2019,1.0946,49437,948.0,50500.0
0026_001.3,48058.8,2.0,Suburban,6.0,2019,1.0946,43905,10768.0,54500.0
0026_001.8,56838.9,2.0,Urban,6.0,2019,1.0946,51926,2747.0,54500.0
0026_002.7,47190.1,2.0,Urban,6.0,2019,1.0946,43111,11562.0,54500.0
0026_003.0,31478.3,2.0,Urban,6.0,2019,1.0946,28757,-15925.0,13000.0
0026_003.2,24639.6,2.0,Urban,4.0,2019,1.0946,22510,-9678.0,13000.0
0026_003.3,19355.2,2.0,Urban,4.0,2019,1.0946,17682,-4850.0,13000.0
0026_003.5,9683.0,2.0,Urban,4.0,2019,1.0946,8846,1630.0,10500.0
0037_000.0,18858.7,3.0,Suburban,2.0,2019,1.0924,17263,-1074.0,16000.0
0037_001.0,16514.3,3.0,Suburban,2.0,2019,1.0924,15117,3056.0,18000.0
0037_001.5,17150.8,3.0,Suburban,2.0,2019,1.0924,15700,2473.0,18000.0
0037_002.0,12357.1,3.0,Suburban,2.0,2019,1.0924,11311,5537.0,17000.0
0037_003.0,6384.7,3.0,Suburban,2.0,2019,1.0918,5847,-2390.0,3500.0
0037_003.5,3410.4,3.0,Transition,2.0,2019,1.0918,3123,334.0,3500.0
0037_004.1,3374.9,3.0,Rural,2.0,2019,1.0918,3091,366.0,3500.0
0037_004.5,3400.6,3.0,Rural,2.0,2019,1.0918,3114,-379.0,2700.0
0037_005.7,3703.2,3.0,Rural,2.0,2019,1.0918,3391,-656.0,2700.0
0037_006.2,4259.4,3.0,Transition,2.0,2019,1.0918,3901,-1575.0,2300.0
0037_006.7,4031.9,3.0,Transition,2.0,2019,1.0918,3692,-412.0,3300.0
0037_007.2,2774.1,3.0,Transition,2.0,2019,1.0918,2540,740.0,3300.0
0037_009.0,4134.5,3.0,Transition,2.0,2019,1.0918,3786,-506.0,3300.0
0037_009.6,3415.1,3.0,Transition,2.0,2019,1.0918,3127,153.0,3300.0
0037_010.0,7548.3,3.0,Transition,4.0,2019,1.0918,6913,3468.0,10500.0
0037_010.5,10162.9,3.0,Transition,4.0,2019,1.0918,9308,1073.0,10500.0
0037_011.5,10566.7,3.0,Suburban,4.0,2019,1.0924,9672,1186.0,11000.0
0038_000.0,1943.9,3.0,Suburban,4.0,2019,1.0924,1779,1381.0,3200.0
0038_000.5,3815.7,3.0,Transition,4.0,2019,0.9593,3977,-184.0,3800.0
0038_003.2,3517.5,3.0,Rural,4.0,2019,0.9593,3666,127.0,3800.0
0039_000.0,6014.7,2.0,Rural,2.0,2019,0.9593,6269,-119.0,6200.0
0039_000.5,9911.4,2.0,Rural,2.0,2019,0.9593,10331,-4181.0,6200.0
0039_001.5,10956.0,2.0,Rural,2.0,2019,0.9593,11420,-3528.0,7900.0
0039_002.4,11025.4,2.0,Transition,2.0,2019,1.0918,10098,-1556.0,8500.0
0039_003.5,24992.2,2.0,Transition,4.0,2019,1.0918,22890,-4003.0,19000.0
0039_004.0,35291.6,2.0,Suburban,4.0,2019,1.0924,32306,29.0,32500.0
0039_004.3,25208.5,2.0,Suburban,4.0,2019,1.0924,23076,14027.0,37000.0
0039_005.1,21097.1,2.0,Urban,4.0,2019,1.0946,19273,17830.0,37000.0
0039_006.0,16503.0,2.0,Urban,4.0,2019,1.0946,15076,10623.0,25500.0
0039_006.1,16624.5,2.0,Urban,4.0,2019,1.0946,15187,10512.0,25500.0
0039_006.2,17033.6,2.0,Urban,4.0,2019,1.0946,15561,10138.0,25500.0
0039_006.4,11926.3,2.0,Suburban,4.0,2019,1.0924,10917,13257.0,24000.0
0039_007.3,18399.5,2.0,Suburban,4.0,2019,1.0924,16843,3250.0,20000.0
0039_007.7,8686.9,3.0,Suburban,4.0,2019,1.0924,7952,3014.0,11000.0
0039_007.9,3369.7,3.0,Suburban,4.0,2019,1.0924,3084,4192.0,7300.0
0039_008.7,8621.0,3.0,Suburban,4.0,2019,0.9593,8986,70.0,9100.0
0048_000.0,36385.6,2.0,Urban,4.0,2019,1.0946,33241,6393.0,39500.0
0048_000.5,40053.9,2.0,Suburban,4.0,2019,1.0924,36665,-3085.0,33500.0
0048_001.0,42216.9,2.0,Suburban,4.0,2019,1.0924,38646,-25.0,38500.0
0048_001.5,40841.9,2.0,Suburban,4.0,2019,1.0924,37387,1234.0,38500.0
0048_002.0,30724.1,2.0,Urban,4.0,2019,1.0924,28125,-720.0,27500.0
0048_002.5,29628.0,2.0,Urban,4.0,2019,1.0946,27067,-612.0,26500.0
0048_003.3,26710.8,2.0,Urban,4.0,2019,1.0946,24402,2053.0,26500.0
0048_003.5,58316.6,2.0,Urban,4.0,2019,1.0946,53276,-3994.0,49500.0
0048_003.9,32971.8,2.0,Urban,5.0,2019,1.0946,30122,7575.0,37500.0
0048_004.1,27369.6,2.0,Urban,5.0,2019,1.0946,25004,12693.0,37500.0
0051_000.0,7638.0,3.0,Suburban,2.0,2019,1.0924,6991,239.0,7200.0
0051_000.6,7585.6,3.0,Suburban,2.0,2019,1.0924,6943,1418.0,8400.0
0051_001.0,9077.7,3.0,Transition,2.0,2019,1.0918,8314,47.0,8400.0
0051_002.4,10474.6,3.0,Suburban,2.0,2019,1.0918,9593,1736.0,11500.0
0052_000.0,12037.3,2.0,Urban,6.0,2019,1.0946,10996,-3714.0,7300.0
0052_000.5,35152.2,2.0,Urban,6.0,2019,1.0946,32114,5799.0,38000.0
0052_000.6,42917.1,2.0,Urban,6.0,2019,1.0946,39208,-1295.0,38000.0
0052_001.0,36779.7,2.0,Urban,6.0,2019,1.0946,33601,4312.0,38000.0
0052_001.5,32142.1,2.0,Urban,6.0,2019,1.0946,29364,4493.0,34000.0
0052_001.8,25801.3,2.0,Urban,6.0,2019,1.0946,23571,18199.0,42000.0
0052_002.1,24148.9,2.0,Urban,6.0,2019,1.0946,22061,19709.0,42000.0
0052_002.6,21401.4,2.0,Suburban,6.0,2019,1.0946,19551,10708.0,30500.0
0052_003.1,19913.7,2.0,Urban,4.0,2019,1.0946,18192,18788.0,37000.0
0052_003.7,28779.4,2.0,Urban,6.0,2019,1.0946,26292,10688.0,37000.0
0053_000.1,15352.6,3.0,Suburban,2.0,2019,1.0924,14054,654.0,14500.0
0053_000.9,22134.9,3.0,Urban,2.0,2019,1.0924,20262,-198.0,20000.0
0053_001.5,16360.1,3.0,Urban,2.0,2019,1.0946,14946,5118.0,20000.0
0053_001.7,18770.8,3.0,Urban,4.0,2019,1.0946,17148,159.0,17500.0
0053_001.8,12141.0,3.0,CBD-like,4.0,2019,1.0946,11091,6216.0,17500.0
0060_000.0,4131.0,4.0,Suburban,2.0,2019,1.0946,3773,11940.0,15500.0
0060_000.8,2146.0,4.0,Transition,2.0,2019,1.0918,1965,925.0,2900.0
0060_003.7,7025.8,4.0,Transition,2.0,2019,1.0918,6435,-2649.0,3800.0
0060_004.4,6435.3,4.0,Transition,2.0,2019,1.0918,5894,-2108.0,3800.0
0060_007.4,5083.3,4.0,Transition,2.0,2019,1.0918,4655,0.0,4700.0
0067_000.0,27099.9,32.0,Suburban,4.0,2019,1.2253,22116,1454.0,23500.0
0067_001.0,27099.9,32.0,Suburban,4.0,2019,1.2253,22116,1454.0,23500.0
0067_004.0,4949.6,2.0,Transition,4.0,2019,1.2253,4039,19531.0,23500.0
0067_004.1,28608.7,32.0,Rural,4.0,2019,1.2253,23348,1276.0,24500.0
0067_007.3,25928.2,32.0,Suburban,4.0,2019,1.2253,21160,6050.0,27000.0
0067_010.1,25928.2,32.0,Suburban,4.0,2019,1.2253,21160,6050.0,27000.0
0068_000.0,1603.9,2.0,Rural,2.0,2019,0.984,1629,-229.0,1400.0
0068_012.8,1649.3,2.0,Rural,2.0,2019,0.984,1676,-276.0,1400.0
0068_017.2,1657.8,2.0,Rural,2.0,2019,0.984,1684,-284.0,1400.0
0068_023.7,1713.3,2.0,Rural,2.0,2019,0.984,1741,-341.0,1400.0
0068_024.7,923.4,2.0,Rural,1.0,2019,1.0918,845,555.0,1400.0
0068_025.0,5819.1,2.0,Transition,2.0,2019,1.0924,5326,6272.0,11500.0
0068_026.5,10867.5,2.0,Transition,2.0,2019,1.0918,9953,1645.0,11500.0
0068_026.9,11652.5,2.0,Transition,2.0,2019,1.0918,10672,926.0,11500.0
0068_027.4,21781.5,2.0,Transition,4.0,2019,1.0918,19950,-8352.0,11500.0
0068_028.3,23969.2,2.0,Suburban,4.0,2019,1.0924,21941,-10343.0,11500.0
0068_029.3,30715.8,2.0,Suburban,4.0,2019,1.0924,28117,-16519.0,11500.0
0068_029.7,32898.7,2.0,Transition,4.0,2019,1.0924,30115,-18517.0,11500.0
0068_030.5,27324.6,2.0,Transition,4.0,2019,1.0918,25027,-2662.0,22500.0
0068_031.0,44918.6,2.0,Transition,4.0,2019,1.0918,41141,-17946.0,23000.0
0068_031.5,49516.3,2.0,Transition,4.0,2019,1.0918,45352,-22157.0,23000.0
0068_031.7,20670.5,2.0,Suburban,4.0,2019,1.0924,18922,4273.0,23000.0
0068_032.7,29341.0,2.0,Suburban,4.0,2019,1.0924,26859,-2809.0,24000.0
0068_033.6,45071.0,2.0,Suburban,4.0,2019,1.0918,41281,-17231.0,24000.0
0068_034.5,43709.2,2.0,Transition,4.0,2019,1.0918,40034,-15984.0,24000.0
0068_034.6,43876.7,2.0,Transition,4.0,2019,1.012,43356,-19191.0,24000.0
0068_036.0,43332.4,2.0,Transition,4.0,2019,1.0918,39688,-8390.0,31500.0
0068_038.1,23318.1,2.0,Transition,4.0,2019,1.0918,21357,2487.0,24000.0
0068_039.2,18659.4,2.0,Transition,4.0,2019,1.0918,17090,6754.0,24000.0
0068_040.1,24063.7,2.0,Transition,4.0,2019,1.0924,22028,5920.0,28000.0
0068_040.8,22961.8,2.0,Transition,6.0,2019,1.0924,21019,-6207.0,15000.0
0068_041.3,24539.1,2.0,Suburban,6.0,2019,1.0924,22463,-7651.0,15000.0
0068_042.3,26683.2,2.0,Suburban,6.0,2019,1.0924,24426,-5283.0,19000.0
0068_043.3,29377.0,2.0,Suburban,6.0,2019,1.0924,26892,-7749.0,19000.0
0068_043.8,26004.3,2.0,Suburban,6.0,2019,1.0946,23756,4073.0,28000.0
0068_045.1,36781.2,2.0,Suburban,6.0,2019,1.0924,33670,-4209.0,29500.0
0068_045.8,35358.3,2.0,Urban,6.0,2019,1.0946,32302,-1426.0,31000.0
0068_046.8,31637.9,2.0,Urban,6.0,2019,1.0924,28961,12670.0,41500.0
0068_047.2,32395.1,2.0,Suburban,6.0,2019,1.0924,29654,11977.0,41500.0
0068_047.8,40374.9,2.0,Suburban,6.0,2019,1.0924,36959,4672.0,41500.0
0068_048.3,35742.3,2.0,Urban,6.0,2019,1.0924,32719,10254.0,43000.0
0068_049.3,46203.3,2.0,Suburban,6.0,2019,1.0946,42210,2968.0,45000.0
0068_050.3,66980.6,2.0,Urban,7.0,2019,1.0946,61191,15737.0,77000.0
0068_050.7,41561.6,2.0,Urban,6.0,2019,1.0946,37969,31824.0,70000.0
0068_051.3,34671.8,2.0,Urban,6.0,2019,1.0946,31675,8076.0,40000.0
0068_052.1,37652.0,2.0,Urban,6.0,2019,1.0946,34397,5354.0,40000.0
0068_052.3,29057.1,2.0,Urban,6.0,2019,1.0946,26545,13527.0,40000.0
0068_053.1,38933.3,2.0,Urban,6.0,2019,1.0946,35568,16485.0,52000.0
0068_053.3,27952.0,2.0,Urban,6.0,2019,1.0946,25536,9940.0,35500.0
0068_054.3,15755.0,2.0,Urban,6.0,2019,1.0946,14393,11759.0,26000.0
0068_054.8,19276.7,2.0,Urban,6.0,2019,1.0946,17610,8542.0,26000.0
0068_055.7,42426.0,2.0,Urban,6.0,2019,1.0946,38759,-12607.0,26000.0
0068_056.2,26861.4,2.0,Urban,6.0,2019,1.0946,24539,1613.0,26000.0
0068_056.3,20745.2,2.0,Urban,6.0,2019,1.0946,18952,15846.0,35000.0
0068_056.8,12997.2,2.0,Urban,6.0,2019,1.0946,11873,22925.0,35000.0
0068_057.3,16246.1,2.0,Urban,4.0,2019,1.0924,14871,8733.0,23500.0
0068_058.1,11810.7,2.0,Suburban,4.0,2019,1.0924,10811,12793.0,23500.0
0068_058.7,15783.3,2.0,Urban,4.0,2019,1.0924,14448,9156.0,23500.0
0068_059.1,35740.9,2.0,Urban,4.0,2019,1.0946,32652,-6545.0,26000.0
0068_059.5,13301.8,2.0,Urban,4.0,2019,1.0946,12152,10737.0,23000.0
0068_060.4,17429.8,2.0,Suburban,4.0,2019,1.0924,15955,3560.0,19500.0
0068_060.8,9700.0,2.0,Suburban,2.0,2019,1.0924,8879,3753.0,12500.0
0068_061.8,6763.4,2.0,Transition,2.0,2019,1.0918,6194,6438.0,12500.0
0068_062.6,13445.7,2.0,Suburban,4.0,2019,1.0918,12315,1325.0,13500.0
0068_063.8,29732.0,2.0,Suburban,4.0,2019,1.0924,27217,-12652.0,14500.0
0068_064.4,22024.9,2.0,Suburban,4.0,2019,1.0946,20121,-9507.0,10500.0
0068_065.7,9994.6,2.0,Suburban,2.0,2019,1.0924,9149,1465.0,10500.0
0068_066.6,6858.8,2.0,Transition,2.0,2019,1.0924,6278,4336.0,10500.0
0068_067.3,5700.3,2.0,Transition,4.0,2019,1.0924,5218,4462.0,9700.0
0068_068.2,7432.3,2.0,Suburban,4.0,2019,1.0924,6803,4165.0,11000.0
0068_068.7,8297.4,2.0,Urban,4.0,2019,1.0924,7595,3373.0,11000.0
0068_068.9,13953.5,2.0,Urban,4.0,2019,1.0946,12747,3197.0,16000.0
0068_069.0,36353.9,2.0,Urban,4.0,2019,1.0946,33212,-17268.0,16000.0
0068_069.2,20124.3,2.0,Urban,4.0,2019,1.0946,18385,7053.0,25500.0
0068_069.6,9620.5,2.0,Urban,2.0,2019,1.0946,8789,6584.0,15500.0
0068_070.0,7446.1,2.0,Urban,2.0,2019,1.0946,6802,8571.0,15500.0
0068_070.2,9718.4,2.0,Urban,2.0,2019,1.0946,8878,6495.0,15500.0
0068_070.5,9491.4,2.0,Urban,2.0,2019,1.0946,8671,6702.0,15500.0
0071_000.0,25339.5,2.0,Suburban,4.0,2019,1.0924,23196,2960.0,26000.0
0071_000.4,25272.9,2.0,Suburban,4.0,2019,1.0924,23135,3021.0,26000.0
0071_001.4,28704.5,2.0,Suburban,4.0,2019,1.0924,26276,7757.0,34000.0
0071_002.4,27737.2,2.0,Suburban,4.0,2019,1.0924,25391,3981.0,29500.0
0071_002.9,29607.9,2.0,Suburban,4.0,2019,1.0924,27103,1737.0,29000.0
0071_004.1,33942.4,2.0,Urban,4.0,2019,1.0946,31008,2448.0,33500.0
0071_004.7,47695.4,2.0,Urban,4.0,2019,1.0946,43573,-9560.0,34000.0
0071_005.0,58513.7,2.0,Urban,6.0,2019,1.0946,53456,-20592.0,33000.0
0071_005.1,46273.3,2.0,Urban,5.0,2019,1.0946,42274,-9410.0,33000.0
0071_005.5,37441.8,2.0,Urban,4.0,2019,1.0946,34205,2865.0,37000.0
0071_006.0,8610.6,2.0,Urban,2.0,2019,1.0946,7866,6430.0,14500.0
0071_006.6,12148.2,2.0,Urban,2.0,2019,1.0924,11120,3176.0,14500.0
0071_007.2,23219.5,2.0,Suburban,4.0,2019,1.0946,21212,-5515.0,15500.0
0071_007.7,23417.6,2.0,Suburban,4.0,2019,1.0924,21436,2018.0,23500.0
0071_008.2,25563.9,2.0,Suburban,4.0,2019,1.0946,23354,4106.0,27500.0
